,setting,average_performance,inclusion_norm,tightness_norm,inclusion_boot,tightness_boot
0,alpha_24_beta_6_samples_500_config_100_balance_0.1_classes_2,0.9285412866959905,0.545,0.002799354186163172,0.55,0.0037346200293237874
1,alpha_24_beta_6_samples_50_config_500_balance_0.1_classes_2,0.8772870217918413,0.0,-0.12271297820815874,0.0,-0.12271297820815874
2,alpha_24_beta_6_samples_50_config_100_balance_0.1_classes_2,0.8725162612875057,0.0,-0.12501253656966937,0.0,-0.12470596093471653
3,alpha_9_beta_6_samples_500_config_100_balance_equal_classes_2,0.8598012751684132,0.795,0.013790321421679463,0.79,0.013850875168413213
4,alpha_9_beta_6_samples_500_config_100_balance_0.1_classes_2,0.8542415578824497,0.655,0.010724345112369638,0.665,0.011919335660227515
5,alpha_24_beta_6_samples_500_config_100_balance_equal_classes_2,0.9356930907646261,0.735,0.0070599773137500765,0.745,0.007337890764626098
6,alpha_24_beta_6_samples_50_config_100_balance_equal_classes_2,0.8994839837770242,0.07,-0.05830318143336666,0.1,-0.05393268288964248
7,alpha_9_beta_6_samples_500_config_500_balance_equal_classes_2,0.9001936230210765,0.75,0.009792314941184044,0.735,0.01000322302107648
8,alpha_24_beta_6_samples_50_config_500_balance_equal_classes_2,0.9132129432171427,0.01,-0.07697201563231948,0.02,-0.07545372344952395
9,alpha_9_beta_6_samples_50_config_100_balance_equal_classes_2,0.8197119104165,0.33,-0.03463877458107556,0.33,-0.0298714229168332
10,alpha_9_beta_6_samples_50_config_500_balance_0.1_classes_2,0.8084198226885672,0.0,-0.17316232934485398,0.0,-0.17113573286698847
11,alpha_24_beta_6_samples_500_config_500_balance_equal_classes_2,0.9541231380222277,0.675,0.0038510780560548907,0.69,0.00416713802222779
12,alpha_24_beta_6_samples_500_config_500_balance_0.1_classes_2,0.9455191468721472,0.41,-0.004099949983470519,0.42,-0.003274186461186157
13,alpha_9_beta_6_samples_50_config_500_balance_equal_classes_2,0.8464183963188754,0.095,-0.06880574250322247,0.12,-0.064414937014458
14,alpha_9_beta_6_samples_500_config_500_balance_0.1_classes_2,0.8868887596815039,0.62,0.0051578231550936104,0.615,0.006077648570392835
15,alpha_9_beta_6_samples_50_config_100_balance_0.1_classes_2,0.7888205036200067,0.03,-0.13255549195190597,0.035,-0.12717949637999337
